ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688008.SH,20260317,153.0,153.0,146.42,146.59,152.5,-5.91,-3.8754,299524.47,4463314.315
688008.SH,20260318,150.0,153.95,148.62,153.62,146.59,7.03,4.7957,479787.5,7302233.907
688008.SH,20260319,150.54,153.56,148.75,149.68,153.62,-3.94,-2.5648,382433.78,5771710.067
688008.SH,20260320,151.4,151.87,144.86,144.9,149.68,-4.78,-3.1935,350753.43,5195762.804
688008.SH,20260323,139.99,142.38,135.91,136.8,144.9,-8.1,-5.5901,383499.82,5332637.842
688008.SH,20260324,140.0,140.0,132.1,137.57,136.8,0.77,0.5629,300404.34,4070281.341
688008.SH,20260325,139.5,143.88,139.2,142.0,137.57,4.43,3.2202,325799.74,4614540.748
688008.SH,20260326,139.88,140.34,136.1,136.99,142.0,-5.01,-3.5282,248477.42,3429348.107
688008.SH,20260327,132.01,136.95,131.59,135.1,136.99,-1.89,-1.3797,234873.11,3155339.568
688008.SH,20260330,131.58,133.3,131.05,132.0,135.1,-3.1,-2.2946,255719.49,3378424.406
688008.SH,20260331,130.0,130.0,125.0,125.28,132.0,-6.72,-5.0909,364438.45,4627857.546
688008.SH,20260401,130.0,131.12,127.27,129.97,125.28,4.69,3.7436,342306.27,4427751.403
688008.SH,20260402,131.6,133.4,127.72,129.0,129.97,-0.97,-0.7463,305824.23,3994346.358
688008.SH,20260403,130.71,131.05,127.0,127.26,129.0,-1.74,-1.3488,185980.57,2383276.219
688008.SH,20260407,128.97,130.5,127.69,127.9,127.26,0.64,0.5029,198025.96,2553643.322
688008.SH,20260408,133.67,139.21,132.53,139.21,127.9,11.31,8.8428,500428.66,6807382.587
688008.SH,20260409,137.52,141.9,136.66,139.17,139.21,-0.04,-0.0287,371454.23,5192060.559
688008.SH,20260410,143.0,145.5,142.3,143.53,139.17,4.36,3.1329,401408.66,5781459.387
688008.SH,20260413,142.4,155.15,142.38,152.3,143.53,8.77,6.1102,534921.0,8013876.154
688008.SH,20260414,157.5,160.0,153.06,153.36,152.3,1.06,0.696,630131.64,9866055.917
688008.SH,20260415,156.0,156.08,146.03,147.18,153.36,-6.18,-4.0297,491316.62,7391381.043
688008.SH,20260416,147.48,152.85,144.34,151.0,147.18,3.82,2.5955,397312.02,5943470.586
688008.SH,20260417,150.52,155.0,150.03,150.78,151.0,-0.22,-0.1457,455253.75,6918522.635
