ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
06809.HK,20260423,232.8,247.8,225.4,229.6,224.4,5.2,2.32,3945605.0,933871030.1
06809.HK,20260424,241.0,248.8,224.8,227.8,229.6,-1.8,-0.78,3088632.0,724117283.4
06809.HK,20260427,245.0,266.0,237.4,259.2,227.8,31.4,13.78,5352083.0,1367347694.0
06809.HK,20260428,247.2,275.0,247.2,264.8,259.2,5.6,2.16,3874966.0,1018921357.6
06809.HK,20260429,264.8,264.8,248.6,254.8,264.8,-10.0,-3.78,1930696.0,492327814.5
06809.HK,20260430,264.4,268.6,246.0,261.8,254.8,7.0,2.75,3185407.0,827581315.1
06809.HK,20260504,276.0,288.6,268.2,270.4,261.8,8.6,3.28,957564.0,264192578.6
06809.HK,20260505,274.6,294.6,273.0,275.4,270.4,5.0,1.85,1592854.0,450362651.0
06809.HK,20260506,298.0,335.0,291.0,321.6,275.4,46.2,16.78,5818024.0,1853049065.6
06809.HK,20260507,322.4,364.8,317.0,357.6,321.6,36.0,11.19,4860449.0,1656658368.6
06809.HK,20260508,338.0,375.6,333.4,375.6,357.6,18.0,5.03,4459214.0,1579114131.3
06809.HK,20260511,431.0,464.4,400.6,418.6,375.6,43.0,11.45,5837609.0,2528832437.6
06809.HK,20260512,406.2,442.8,390.2,413.0,418.6,-5.6,-1.34,4765852.0,1969461429.188
06809.HK,20260513,407.0,524.5,400.0,501.0,413.0,88.0,21.31,5947867.0,2686722587.1
06809.HK,20260514,520.0,543.0,478.2,482.4,501.0,-18.6,-3.71,6251040.0,3187608364.38
06809.HK,20260515,480.0,500.0,420.0,448.6,482.4,-33.8,-7.01,7720774.0,3498159904.1
06809.HK,20260518,444.0,480.0,433.8,440.8,448.6,-7.8,-1.74,4582288.0,2081958350.1
06809.HK,20260519,425.4,434.8,403.6,423.6,440.8,-17.2,-3.9,5025222.0,2098536123.2
06809.HK,20260520,430.0,458.2,425.0,446.8,423.6,23.2,5.48,6360070.0,2800090405.9
06809.HK,20260521,477.2,500.0,445.0,446.2,446.8,-0.6,-0.13,6329054.0,2988559509.88
06809.HK,20260522,466.6,479.0,449.2,471.8,446.2,25.6,5.74,4796296.0,2239002394.8
06809.HK,20260526,500.0,500.0,461.6,462.0,471.8,-9.8,-2.08,3767166.0,1783690923.2
06809.HK,20260527,484.6,498.0,455.0,469.0,462.0,7.0,1.52,3946240.0,1886194351.9
06809.HK,20260528,460.2,472.6,445.0,458.8,469.0,-10.2,-2.17,2826242.0,1300729344.2
06809.HK,20260529,458.8,465.0,394.6,400.0,458.8,-58.8,-12.82,8506754.0,3584306054.2
06809.HK,20260601,408.2,412.0,366.6,372.4,400.0,-27.6,-6.9,5306918.0,2022644064.4
06809.HK,20260602,372.6,389.4,356.0,380.2,372.4,7.8,2.09,5265317.0,1976779756.0
06809.HK,20260603,400.0,425.0,394.0,403.0,380.2,22.8,6.0,6212173.0,2560035332.5
06809.HK,20260604,403.0,417.6,387.0,406.2,403.0,3.2,0.79,3780072.0,1541054338.6
06809.HK,20260605,389.8,395.0,362.4,368.8,406.2,-37.4,-9.21,4266972.0,1606094354.5
06809.HK,20260608,351.8,363.8,340.0,347.4,368.8,-21.4,-5.8,3501946.0,1220375656.0
06809.HK,20260609,369.0,369.0,350.8,360.4,347.4,13.0,3.74,3350565.0,1207999658.0
06809.HK,20260610,352.8,366.8,336.2,345.2,360.4,-15.2,-4.22,2562711.0,896446765.6
06809.HK,20260611,345.0,369.0,336.8,365.0,345.2,19.8,5.74,2962981.0,1042988584.0
06809.HK,20260612,387.2,399.0,345.0,355.0,365.0,-10.0,-2.74,4167055.0,1566246855.6
06809.HK,20260615,366.8,388.0,356.2,384.6,355.0,29.6,8.34,3262947.0,1228745606.1
06809.HK,20260616,388.4,393.0,375.8,378.4,384.6,-6.2,-1.61,2627076.0,1011833695.5
06809.HK,20260617,371.0,430.0,369.4,420.6,378.4,42.2,11.15,5493628.0,2238176585.6
06809.HK,20260618,416.4,452.8,416.4,446.4,420.6,25.8,6.13,5384852.0,2364510546.79
06809.HK,20260622,465.0,478.0,445.4,466.2,446.4,19.8,4.44,4562693.0,2121762676.1
06809.HK,20260623,470.0,477.6,408.2,408.2,466.2,-58.0,-12.44,4342177.0,1863163874.3
06809.HK,20260624,410.8,438.8,409.0,430.2,408.2,22.0,5.39,3769517.0,1604351689.9
06809.HK,20260625,461.0,465.0,434.6,459.0,430.2,28.8,6.69,4112015.0,1864745941.5
06809.HK,20260626,450.0,450.0,401.8,419.8,459.0,-39.2,-8.54,3966782.0,1670397761.4
06809.HK,20260629,416.0,460.0,408.0,447.6,419.8,27.8,6.62,5748166.0,2539718972.3
